V_02_Temp,T_01_Reboiler,T_02_Condenser,T_02_Reboiler,T_03_Reboiler,Revenue,SG_C1,LPG_C2,LPG_C5,NG_RVP,T_01_Stage1_Temperature,T_01_Stage11_Temperature,T_02_Stage1_Temperature,T_02_Stage21_Temperature,T_03_Stage1_Temperature,T_03_Stage6_Temperature
-26.334191648388448,73.7237695332621,1.6977686639521683,25.193723687738466,45.588105315195065,-651.8675396738026,82.84534749218359,15.6833113594248,0.01606336860135308,121.642302982036,14.402427561822037,65.54658167359003,28.107576445961,126.33914948757604,110.96890593740301,203.95956845887804
-30.759804978813094,70.85653031253308,1.6504064778199736,13.19284697730592,48.08322133358999,-659.9161040313327,83.63993652970359,14.827212081856,0.9276070230432535,51.4812038938743,13.840625412380007,61.70867945169903,30.86660007841101,151.277984491913,107.317879560177,197.001439175703
-22.89096638419386,65.20262249759479,3.189676656271846,13.447595145480562,57.52628756511114,-636.4730945333796,81.911110136785,7.15412213687944,2.118344672355236,50.9008228880854,18.719265783834032,75.578184565654,44.532963521136026,150.55934838395802,96.64671686312204,169.66078156087104
-28.617817909774278,71.54678602931037,1.685978747213402,23.24855131945207,46.98899918820834,-657.3188853649636,83.2301974023237,15.622842261880502,0.01453395477003883,120.90940116295401,14.479726359359006,64.159383810615,28.131532580781027,125.70963642691902,108.89275207070102,200.068200633706
-19.102064701920682,69.4999865292709,0.8824556737536496,14.4549619099081,53.9606053567778,-626.2367110084297,81.31617722213021,7.25045346167143,5.06269657959639,45.1183799405467,19.39254271770602,78.61259618372804,46.43300735295003,153.553966241637,100.11471081282002,179.83482338695904
-30.377557109662817,69.78803287146832,2.1116167728450046,17.764611394571393,46.8175110349442,-659.8858252443509,83.507509137656,14.6188621641239,0.01362802914058727,84.982963964949,14.610883288186017,63.66136283440704,30.487627224361006,137.33298363970704,109.14341007421905,200.54525816652904
-22.981958097247265,68.6277761672743,0.8684809318195374,23.963665862645687,50.13503921979288,-639.7947655003533,82.0133004715651,9.93932505524406,0.2603224350930568,101.192587144443,18.129253199217032,74.53258778862505,37.91867801483801,129.62793035054602,104.53188779263502,191.12243087990902
-22.057515770872676,68.62639566720465,1.9245961606401707,16.269957815858543,58.84463676705052,-636.3403819265033,81.8718509936069,9.68552991954674,0.0441133981966717,66.020263638041,17.564788550963044,72.29252382221301,39.734271853216,141.820764572396,95.44059148499502,166.02849013271805
-26.50749721535098,63.35042223533351,1.1318694963061957,21.993188700227563,51.18609353188675,-647.7941311540112,82.4973658719719,8.15060664278144,0.0936012942284761,102.953350876417,18.266527539389017,74.67632290665205,39.74418461640403,128.61937574579002,103.21615334435,188.044198429275
-22.110438114859974,69.82270643377825,2.5367521766025325,14.276857540464224,55.02117235140571,-635.8040406556025,81.9080490373155,9.80986393780427,2.1301242154582667,49.814296603639,17.434551954943004,72.40868033902802,40.56688782881503,150.66733096535103,99.04126638106402,176.74638612560602
-18.6735992656198,64.89593742070711,1.604804843682746,21.324016342290673,48.95480092890305,-624.4126354697073,81.0695596078732,2.70238261638252,1.1476399577105079,52.124933516962095,22.631732883576035,88.24940732041205,52.44148799962204,150.50329292682,106.10490423701003,194.53236638763002
-21.806245832248177,68.75109921590793,1.7268193917276895,18.916741827016853,52.56091196430141,-635.3887037599252,81.8012505590396,8.93292217406322,0.06771916103564704,65.4509421912186,18.391516145113997,75.26324756896003,40.96638731100302,142.58535197647603,101.61616885301703,183.967595899915
-18.59734722369432,73.25599568224779,3.7484260513976855,26.219115010283257,47.88197017595999,-627.9282378246728,81.3008636794602,10.0139743414741,0.012948188821449911,85.30514488405531,18.570717271435,78.05141518372704,39.11995916526405,136.40175719772202,107.60480966742205,197.570348745148
-30.996428635205262,62.579246739133666,3.0440224948136807,22.38272263948889,60.072351184802294,-661.9664178925408,83.37462961050069,12.437670970723099,0.0034580201298577123,139.54177973343602,15.792751333482045,65.90828460846103,31.600877478659015,115.65385219691802,94.35151389597405,162.66806959654804
-28.025716677382555,71.19102750652834,4.38627853416079,14.820894544627212,55.62994612395396,-653.9915154351792,83.1395573625956,14.5531655195474,0.005662263177432515,73.788556374711,13.992242753772018,62.351336778664006,30.912293136833,138.07921631504001,98.44339632548503,174.994253004749
-29.658251071136178,62.037504453058986,1.0103423586220188,25.77098671062893,62.52955296701349,-659.14537064274,83.1022469513503,11.7637878354913,0.027495860938768837,157.91563356944,16.30016366835804,67.538623300984,31.757470320717005,111.16211809918701,92.31759037232104,155.883497911601
-30.85331450832262,60.49804571167776,3.5047533612691346,15.406497243720832,60.76978423530523,-658.427784863978,83.253902175552,9.73591456305275,0.005488384666035074,93.8538888958709,16.382417352283028,68.16980086317903,37.18101670198104,129.06282646976604,93.75113242780202,160.75784986427203
-19.696720382886205,66.95535994551993,3.0038224332625223,21.337548553988697,56.30974007463652,-629.4231193549178,81.3563664555609,6.64507854324881,0.01998742406221263,78.1179722558427,19.859457025824042,79.49475138582,44.363322902885045,135.85917324623603,97.78943039507004,173.06005956948502
-29.273218496821706,72.85458127681184,0.7941523030764093,25.907570808965133,52.93913563515309,-661.4636643097833,83.45030750187749,18.2241703144343,0.0465486600521826,153.40009362637798,12.866361225414039,60.098525456098,23.203433220106035,114.98744310207604,101.19879654149003,182.84960468232902
-19.12504226074495,62.538424592810294,2.5523334651532994,22.300937946880914,62.546861972186775,-627.1782473488865,81.14082234198699,3.3946504078590496,0.02524756488486912,92.0812122124845,21.413426978892005,83.318777995716,48.753278940751045,129.64545763428902,92.30321923580703,155.833666825232
-25.41526864552566,66.46255248936261,1.9306948470732266,26.325277412603867,50.911101866412324,-647.2027677735844,82.4078059513776,10.5320495496306,0.01638311958048675,125.54074832640701,17.717866515147023,72.76853121953002,35.42140080827801,122.29105676665102,103.55251646532002,188.85343297349004
-20.51773512151327,64.20368042723177,3.621682741032494,13.66113248134062,61.06542527723283,-629.7580798190143,81.4415493844057,5.17470976135587,2.303958120981354,53.595923930495005,19.955294208374028,79.34010374034204,48.26821233433202,150.83431003873,93.50051769474601,159.94540071367504
-32.50764621031867,60.15977991139924,0.8571186824141137,20.586787023879523,55.419820658562074,-663.6196670824926,83.532389552776,10.6191810936879,0.08678207195256639,126.218560458324,16.227032699516997,68.086050490052,34.614666447383,120.23896861909702,98.64819916782102,175.59738612679803
-17.91885291427274,76.7555525839964,1.3731330203836931,24.998111162642026,48.69904056601332,-626.8154424929432,81.27188062908999,12.0801419060931,0.1029261401475148,80.06729472272329,16.500963060925017,74.65731300793101,36.155682901647026,137.89420220766402,106.45707477418301,195.26124465151003
-20.092672783751304,73.03347630388679,2.094439555789834,9.113257733380465,61.93810466534831,-630.2724902548375,81.6333310901038,10.8864481877903,6.034169490401931,47.222750910983905,15.837740488045995,69.24728126911901,40.18827894342701,158.927811993381,92.78145587593502,157.53993311571702
-20.995951926553957,65.33519617969517,1.7143254040411544,19.3940693732905,60.412917376564316,-632.8763070859919,81.5651782916797,6.796128841436181,0.050299061419092496,82.9341191918726,19.315330618375015,77.345633970949,43.668582692715006,133.44468386134002,94.05625382617802,161.73309276646603
-19.977364743748296,65.1516364789938,4.420995983834569,17.969878171759184,58.79788630283093,-629.2307764272784,81.3629048868662,5.48343437590452,0.01746766228011444,63.8267591027653,20.145267673288004,80.10826128496501,46.758055859640024,143.02041103928002,95.48264008319,166.15140540506803
